gene_id	gene_name	sampleGSM461176	sampleGSM461177	sampleGSM461178	sampleGSM461179	sampleGSM461180	sampleGSM461181	sampleGSM461182
FBgn0263618	lncRNA:CR43627	0	0	0	0	0	0	0
FBgn0005775	Con	145	106	59	160	89	123	71
FBgn0035584	CG17030	0	0	0	0	0	0	0
FBgn0267245	lncRNA:CR45685	0	0	0	0	0	0	0
FBgn0052232	t-Grip128	0	0	0	0	0	0	0
FBgn0035585	ATPsynCF6L	0	0	0	0	0	0	0
FBgn0264476	lncRNA:CR43884	0	0	0	0	0	0	0
FBgn0267917	lncRNA:CR46198	0	0	2	0	0	0	0
FBgn0054047	lncRNA:CR34047	0	0	0	0	0	0	0
FBgn0035594	CG4597	0	0	0	2	0	0	0
FBgn0040842	CG15212	0	2	0	2	0	0	0
FBgn0040843	CG15213	1	0	0	0	0	1	0
FBgn0035593	Yod1	328	542	570	298	689	835	455
FBgn0266653	asRNA:CR45160	193	299	352	293	345	546	461
FBgn0035592	CG10674	201	282	332	282	323	508	424
FBgn0035591	CG4611	250	319	316	208	362	444	337
FBgn0035590	Tcs5	99	224	245	134	359	456	219
FBgn0035589	CHMP2B	330	527	558	217	470	608	425
FBgn0035588	Dhrs4	177	265	374	219	398	445	340
FBgn0035587	Gdap1	65	97	94	67	98	98	104
FBgn0267647	lncRNA:CR45985	2	2	6	0	0	1	0
FBgn0035586	Fitm	643	1015	1015	582	1014	1219	875
FBgn0028962	AlaRS-m	386	651	585	286	594	755	597
FBgn0263831	Gen	171	223	236	170	281	359	243
FBgn0010747	Srp54k	1525	2237	2387	1276	2255	3028	2343
FBgn0052423	shep	9913	8113	6143	7919	5329	6906	6967
FBgn0035598	CG4669	4	2	0	2	5	1	0
FBgn0267305	lncRNA:CR45741	0	0	0	0	0	0	0
FBgn0267306	lncRNA:CR45742	0	0	0	0	0	0	0
FBgn0011986	tRNA:Ser-AGA-2-5	0	0	0	0	0	0	0
FBgn0016031	lama	1163	1497	1355	1202	1512	1882	1618
FBgn0287586	CG46456	1163	1497	1355	1202	1512	1882	1617
FBgn0052420	tRNA:Val-TAC-1-1	0	0	0	0	0	0	0
FBgn0052421	tRNA:Val-TAC-1-2	0	0	0	0	0	0	0
FBgn0004380	Klp64D	695	966	1028	665	948	1194	913
FBgn0035600	Cyt-c1	2269	3833	3487	2072	3390	4607	4113
FBgn0035601	Uev1A	2708	2686	2808	3165	2789	3679	3912
FBgn0260856	Membrin	233	294	447	251	397	549	404
FBgn0035603	Pfdn4	472	583	707	550	815	1061	631
FBgn0265708	lncRNA:CR44515	1	0	0	0	0	0	0
FBgn0265709	lncRNA:CR44516	0	0	0	0	0	0	0
FBgn0267307	lncRNA:CR45743	0	0	0	1	0	1	0
FBgn0035604	Ir64a	0	0	0	0	0	0	0
FBgn0085420	DIP-delta	0	0	0	1	0	2	1
FBgn0035607	CG4835	0	4	8	0	4	6	6
FBgn0265713	lncRNA:CR44520	0	0	4	2	4	0	1
FBgn0035608	blanks	3443	4022	3548	5010	4540	5523	4118
FBgn0265711	lncRNA:CR44518	0	0	0	1	0	0	0
FBgn0265712	lncRNA:CR44519	0	0	0	0	0	0	0
FBgn0085371	CG34342	0	0	2	0	0	0	0
FBgn0035610	Lkr	4	2	0	1	0	4	1
FBgn0035611	CG13285	0	0	0	0	0	0	0
FBgn0035612	frm	20	26	13	15	8	19	18
FBgn0010894	sinu	149	150	137	295	274	326	201
FBgn0029118	ScsbetaG	525	619	600	590	792	1015	628
FBgn0029121	Sras	157	215	229	184	233	398	225
FBgn0040239	bc10	597	369	434	474	434	554	592
FBgn0015766	Msr-110	25	34	20	12	13	23	18
FBgn0065097	sncRNA:357	3	2	1	1	1	0	2
FBgn0035617	l(3)psg2	1315	1695	1276	1239	1390	1802	1298
FBgn0003486	spo	3	2	2	19	4	4	13
FBgn0035619	Alp10	2	0	6	4	0	4	1
FBgn0035620	Alp9	1	0	2	0	4	2	2
FBgn0035621	CG10591	0	0	0	1	0	2	0
FBgn0035622	TM9SF3	1476	2004	2170	1767	2384	2858	2524
FBgn0035623	mthl2	247	329	343	382	554	640	820
FBgn0035624	Eaf6	123	111	120	110	140	211	149
FBgn0035625	Blimp-1	9	13	6	10	0	6	5
FBgn0035626	lin-28	127	128	145	73	124	160	55
FBgn0085447	sif	201	181	243	199	173	291	237
FBgn0035627	Sse	188	176	234	193	167	286	230
FBgn0284236	CG46320	13	5	7	2	6	4	6
FBgn0265714	CG44521	0	0	0	0	0	0	0
FBgn0263106	DnaJ-1	2607	3166	2859	2018	2306	2976	2220
FBgn0016756	Usp47	740	699	717	594	722	981	827
FBgn0035630	CG10576	3428	5233	5183	2968	4709	6745	5778
FBgn0083044	snoRNA:Psi18S-1397	1	1	0	2	0	2	3
FBgn0065058	snoRNA:CD21	0	2	1	0	0	1	5
FBgn0082994	snoRNA:Psi28S-1837c	0	0	0	0	1	1	2
FBgn0082995	snoRNA:Psi28S-1837b	0	0	0	0	2	2	1
FBgn0086660	snoRNA:Psi28S-1837a	1	0	0	0	2	4	3
FBgn0263488	sncRNA:CR43603	0	3	0	1	1	1	0
FBgn0035631	Txl	874	1122	1177	841	1237	1547	1235
FBgn0035632	Ppat-Dpck	280	454	412	263	445	512	415
FBgn0267481	asRNA:CR45831	195	364	325	172	354	413	311
FBgn0260936	scny	3205	3978	3410	2134	3216	3952	3398
FBgn0052418	vito	257	309	313	170	295	353	287
FBgn0040298	Myt1	272	315	328	219	349	456	385
FBgn0044419	Pmi	554	1053	1238	710	1490	2045	1231
